id,title,genres,averageRating,numVotes,releaseYear
tt0903747,"Breaking Bad","Crime, Drama, Thriller",9.5,2236094,2008
tt5491994,"Planet Earth II",Documentary,9.5,162450,2016
tt0185906,"Band of Brothers","Action, Drama, History",9.4,545773,2001
tt0795176,"Planet Earth","Documentary, Family",9.4,224001,2006
tt5152226,"Tree of Life",Drama,9.4,13107,2014
tt7366338,Chernobyl,"Drama, History, Thriller",9.3,907547,2019
tt0306414,"The Wire","Crime, Drama, Thriller",9.3,391002,2002
tt0417299,"Avatar: The Last Airbender","Action, Adventure, Animation",9.3,389943,2005
tt30263074,"Sapne Vs Everyone",Drama,9.3,71416,2023
tt6769208,"Blue Planet II",Documentary,9.3,49084,2017
tt0081846,Cosmos,Documentary,9.3,46048,1980
tt7678620,Bluey,"Animation, Family",9.3,33630,2018
tt9002164,"BB Ki Vines",Comedy,9.3,11357,2015
tt0944947,"Game of Thrones","Action, Adventure, Drama",9.2,2366744,2011
tt0141842,"The Sopranos","Crime, Drama",9.2,498783,1999
tt14392248,Aspirants,Drama,9.2,313899,2021
tt12392504,"Scam 1992: The Harshad Mehta Story","Biography, Crime, Drama",9.2,161268,2020
tt2395695,"Cosmos: A Spacetime Odyssey",Documentary,9.2,131591,2014
tt9253866,"Our Planet",Documentary,9.2,54100,2019
tt9471404,"The Chosen","Drama, History",9.2,51186,2017
tt4202274,"The Filthy Frank Show","Comedy, Short",9.2,33665,2011
tt0071075,"The World at War","Documentary, History, War",9.2,31350,1973
tt9861270,"Çilgin Dersane at the University",Comedy,9.2,13120,2014
tt1475582,Sherlock,"Crime, Drama, Mystery",9.1,1025194,2010
tt2861424,"Rick and Morty","Adventure, Animation, Comedy",9.1,627536,2013
tt2560140,"Attack on Titan","Action, Adventure, Animation",9.1,562076,2013
tt1355642,"Fullmetal Alchemist: Brotherhood","Action, Adventure, Animation",9.1,208957,2009
tt1831164,"Leyla and Mecnun","Adventure, Comedy, Drama",9.1,98017,2011
tt28227737,"Sandeep Bhaiya",Drama,9.1,75895,2023
tt4742876,"TVF Pitchers","Comedy, Drama",9.1,74133,2015
tt1533395,Life,Documentary,9.1,44142,2009
tt1877514,"The Vietnam War","Documentary, History, War",9.1,29597,2017
tt10530900,Gullak,"Comedy, Drama, Family",9.1,24800,2019
tt9471962,Halka,"Action, Crime, Drama",9.1,19168,2019
tt7450814,Koombiyo,"Crime, Drama, Thriller",9.1,18056,2017
tt4834232,"Critical Role","Adventure, Fantasy",9.1,13672,2015
tt13854248,"The Legend of Hanuman","Action, Adventure, Animation",9.1,12930,2021
tt7923710,"My Mister","Drama, Family",9.1,10875,2018
tt0386676,"The Office",Comedy,9,746441,2005
tt3032476,"Better Call Saul","Crime, Drama",9,690895,2015
tt11126994,Arcane,"Action, Adventure, Animation",9,306882,2021
tt0388629,"One Piece","Action, Adventure, Animation",9,269702,1999
tt8420184,"The Last Dance","Biography, Documentary, History",9,159794,2020
tt2098220,"Hunter x Hunter","Action, Adventure, Animation",9,149062,2011
tt0103359,"Batman: The Animated Series","Action, Adventure, Animation",9,122502,1992
tt12004706,Panchayat,"Comedy, Drama",9,98931,2020
tt0052520,"The Twilight Zone","Drama, Fantasy, Horror",9,97164,1959
tt9432978,"Kota Factory","Comedy, Drama",9,85864,2019
tt10541088,"Clarkson's Farm","Comedy, Documentary, Reality-TV",9,66668,2021
tt0081912,"Only Fools and Horses",Comedy,9,58689,1981
tt7920978,Persona,"Crime, Drama, Mystery",9,49479,2018
tt14986406,"Bleach: Thousand-Year Blood War","Action, Adventure, Animation",9,47114,2022
tt0296310,"The Blue Planet",Documentary,9,44161,2001
tt21279678,"NCR Days",Drama,9,43973,2022
tt2092588,"Frozen Planet",Documentary,9,34252,2011
tt1806234,"Human Planet",Documentary,9,28782,2011
tt8595766,"Yeh Meri Family","Comedy, Drama, Family",9,26428,2018
tt13675832,"As If",Comedy,9,25420,2021
tt0268093,Ramayan,"Adventure, Drama, Family",9,24857,1987
tt4934214,Taskmaster,"Comedy, Game-Show",9,22264,2015
tt0098769,"The Civil War","Documentary, History, War",9,19910,1990
tt1508238,"Apocalypse: The Second World War","Documentary, History, War",9,15429,2009
tt5182866,"Reply 1988","Comedy, Drama, Family",9,13704,2015
tt3212600,Mahabharat,"Drama, History, War",9,12302,2013
tt0108778,Friends,"Comedy, Romance",8.9,1117760,1994
tt2356777,"True Detective","Crime, Drama, Mystery",8.9,677548,2014
tt2802850,Fargo,"Crime, Drama, Thriller",8.9,433602,2014
tt0877057,"Death Note","Animation, Crime, Drama",8.9,401254,2006
tt0098904,Seinfeld,Comedy,8.9,360923,1989
tt0303461,Firefly,"Adventure, Drama, Sci-Fi",8.9,286509,2002
tt1865718,"Gravity Falls","Adventure, Animation, Comedy",8.9,147012,2012
tt0213338,"Cowboy Bebop","Action, Adventure, Animation",8.9,146535,1998
tt0200276,"The West Wing",Drama,8.9,88840,1999
tt2297757,"Nathan for You","Comedy, Documentary",8.9,41073,2013
tt9735318,"The Beatles: Get Back","Biography, Documentary, Music",8.9,30141,2021
tt0092337,Dekalog,Drama,8.9,29234,1989
tt1909015,Undercover,"Action, Crime, Drama",8.9,27866,2011
tt22248376,"Frieren: Beyond Journey's End","Adventure, Animation, Drama",8.9,27364,2023
tt0158417,Mahabharat,"Action, Adventure, Drama",8.9,24305,1988
tt1518542,"Sarabhai V/S Sarabhai",Comedy,8.9,18603,2004
tt13868972,"Rocket Boys","Drama, History",8.9,18591,2022
tt2571774,Africa,Documentary,8.9,18112,2013
tt5851616,"Tash ma Tash","Comedy, Drama",8.9,10751,1992
tt11992526,Harga,Drama,8.9,10016,2021
tt10986410,"Ted Lasso","Comedy, Drama, Sport",8.8,373781,2020
tt7660850,Succession,"Comedy, Drama",8.8,295975,2018
tt0472954,"It's Always Sunny in Philadelphia",Comedy,8.8,259443,2005
tt0098936,"Twin Peaks","Crime, Drama, Mystery",8.8,221974,1990
tt3398228,"BoJack Horseman","Animation, Comedy, Drama",8.8,200248,2014
tt0193676,"Freaks and Geeks","Comedy, Drama",8.8,156639,1999
tt0214341,"Dragon Ball Z","Action, Adventure, Animation",8.8,154933,1996
tt0264235,"Curb Your Enthusiasm",Comedy,8.8,152681,2000
tt7137906,"When They See Us","Biography, Crime, Drama",8.8,143292,2019
tt14650074,Dhindora,"Comedy, Drama",8.8,123176,2021
tt15435876,"The Penguin","Crime, Drama",8.8,105728,2024
tt0072500,"Fawlty Towers",Comedy,8.8,102612,1975
tt3530232,"Last Week Tonight with John Oliver","Comedy, News, Talk-Show",8.8,98094,2014
tt0112130,"Pride and Prejudice","Drama, Romance",8.8,95129,1995
tt0121220,"Dragon Ball Z","Action, Adventure, Animation",8.8,91625,1989
tt10233448,"Vinland Saga","Action, Adventure, Animation",8.8,85201,2019
tt0063929,"Monty Python's Flying Circus",Comedy,8.8,80616,1969
tt1910272,Steins;Gate,"Animation, Comedy, Drama",8.8,78051,2011
tt3718778,"Over the Garden Wall","Adventure, Animation, Comedy",8.8,76203,2014
tt0353049,"Chappelle's Show","Comedy, Music",8.8,74050,2003
tt0096548,"Blackadder Goes Forth","Comedy, War",8.8,58644,1989
tt16026746,"X-Men '97","Action, Adventure, Animation",8.8,37937,2024
tt0081834,"Das Boot","Drama, War",8.8,34698,1985
tt1795096,"Behzat Ç: An Ankara Detective Story","Crime, Drama, Mystery",8.8,33833,2010
tt7927936,Flames,"Comedy, Drama, Romance",8.8,33079,2018
tt0074006,"I, Claudius","Biography, Drama, History",8.8,20156,1976
tt15295490,"Campus Diaries","Comedy, Drama, Romance",8.8,17373,2022
tt22727518,"Another Love","Crime, Drama, Romance",8.8,16778,2023
tt11007006,Azize,Drama,8.8,15075,2019
tt9566030,"Pew News","Comedy, News",8.8,14780,2018
tt7621364,"Black Pearl",Drama,8.8,14292,2017
tt6108262,"Black Sun","Crime, Drama, Thriller",8.8,12727,2017
tt13661118,"Not Me","Action, Crime, Romance",8.8,12235,2021
tt0481256,"Fighting Spirit","Action, Animation, Comedy",8.8,11630,2000
tt4574334,"Stranger Things","Drama, Fantasy, Horror",8.7,1393659,2016
tt1190634,"The Boys","Action, Comedy, Crime",8.7,736362,2019
tt2442560,"Peaky Blinders","Crime, Drama",8.7,682438,2013
tt2085059,"Black Mirror","Crime, Drama, Mystery",8.7,661522,2011
tt3581920,"The Last of Us","Action, Adventure, Drama",8.7,579729,2023
tt0412142,House,"Drama, Mystery",8.7,537394,2004
tt2707408,Narcos,"Biography, Crime, Drama",8.7,485463,2015
tt5753856,Dark,"Crime, Drama, Mystery",8.7,467743,2017
tt0096697,"The Simpsons","Animation, Comedy",8.7,445250,1989
tt0121955,"South Park","Animation, Comedy",8.7,414459,1997
tt0367279,"Arrested Development",Comedy,8.7,329875,2003
tt0804503,"Mad Men",Drama,8.7,267816,2007
tt4236770,Yellowstone,"Drama, Western",8.7,240548,2018
tt1606375,"Downton Abbey","Drama, Romance",8.7,230247,2010
tt11280740,Severance,"Drama, Mystery, Sci-Fi",8.7,229060,2022
tt6741278,Invincible,"Action, Adventure, Animation",8.7,221986,2021
tt5687612,Fleabag,"Comedy, Drama",8.7,215367,2016
tt4508902,"One Punch Man","Action, Animation, Comedy",8.7,193861,2015
tt0384766,Rome,"Action, Drama, Romance",8.7,190528,2005
tt0988824,"Naruto: Shippuden","Action, Adventure, Animation",8.7,183985,2007
tt0407362,"Battlestar Galactica","Action, Adventure, Drama",8.7,179151,2004
tt5555260,"This Is Us","Comedy, Drama, Romance",8.7,163603,2016
tt0248654,"Six Feet Under","Comedy, Drama",8.7,154315,2001
tt5788792,"The Marvelous Mrs. Maisel","Comedy, Drama",8.7,147137,2017
tt0092455,"Star Trek: The Next Generation","Action, Adventure, Drama",8.7,140296,1987
tt1628033,"Top Gear","Adventure, Sport, Talk-Show",8.7,129971,2002
tt13991232,1883,"Drama, Western",8.7,124709,2021
tt0118421,Oz,"Crime, Drama, Thriller",8.7,109646,1997
tt9544034,"The Family Man","Action, Comedy, Drama",8.7,101704,2019
tt0286486,"The Shield","Crime, Drama, Thriller",8.7,90677,2002
tt5712554,"The Grand Tour","Comedy, Sport, Talk-Show",8.7,88141,2016
tt0994314,"Code Geass","Action, Animation, Drama",8.7,85337,2006
tt13309742,"Blue Eye Samurai","Action, Adventure, Animation",8.7,80920,2023
tt0758745,"Friday Night Lights","Drama, Sport",8.7,74326,2006
tt2303687,"Line of Duty","Crime, Drama, Mystery",8.7,73228,2012
tt0387764,"Peep Show",Comedy,8.7,68548,2003
tt0318871,Berserk,"Action, Adventure, Animation",8.7,59679,1997
tt0434706,Monster,"Animation, Crime, Drama",8.7,50919,2004
tt10850932,"Crash Landing on You","Adventure, Comedy, Drama",8.7,46099,2019
tt0111958,"Father Ted",Comedy,8.7,44897,1995
tt3398540,Haikyu!!,"Animation, Comedy, Drama",8.7,40035,2014
tt1534360,Ezel,"Crime, Drama, Thriller",8.7,38826,2009
tt7472896,"Mr Inbetween","Crime, Drama",8.7,35478,2018
tt0459159,"The Thick of It",Comedy,8.7,27095,2005
tt0096639,"Lonesome Dove","Adventure, Drama, Western",8.7,26891,1989
tt0086661,"The Adventures of Sherlock Holmes","Crime, Drama, Mystery",8.7,25060,1984
tt10332508,Primal,"Action, Adventure, Animation",8.7,22745,2019
tt6025022,"Justice League Unlimited","Action, Adventure, Animation",8.7,21729,2004
tt28857177,"Lucky Guy","Comedy, Drama, Fantasy",8.7,21554,2023
tt20859920,"Alchemy of Souls","Action, Drama, Fantasy",8.7,20135,2022
tt0988818,Gintama,"Action, Animation, Comedy",8.7,16594,2005
tt4063800,"The Bureau","Drama, Thriller",8.7,15172,2015
tt0106028,"Homicide: Life on the Street","Crime, Drama, Mystery",8.7,15097,1993
tt10801534,"How to with John Wilson","Comedy, Documentary",8.7,14461,2020
tt0090509,"The Return of Sherlock Holmes","Crime, Drama, Mystery",8.7,13852,1986
tt0229889,"El Chavo del Ocho","Comedy, Family",8.7,13735,1972
tt6111552,"Content Cop","Comedy, Crime, Talk-Show",8.7,12612,2015
tt4269716,Umbre,"Crime, Drama, Thriller",8.7,11720,2014
tt7094780,"Mr. Sunshine","Action, Drama, Romance",8.7,11128,2018
tt10554898,"The Untamed","Action, Adventure, Drama",8.7,10682,2019
tt0773262,Dexter,"Crime, Drama, Mystery",8.6,803789,2006
tt8111088,"The Mandalorian","Action, Adventure, Fantasy",8.6,606379,2019
tt1856010,"House of Cards",Drama,8.6,538772,2013
tt3322312,Daredevil,"Action, Crime, Drama",8.6,486050,2015
tt5290382,Mindhunter,"Crime, Drama, Mystery",8.6,353284,2017
tt1124373,"Sons of Anarchy","Crime, Drama, Thriller",8.6,332174,2008
tt1266020,"Parks and Recreation",Comedy,8.6,295981,2009
tt4786824,"The Crown","Biography, Drama, History",8.6,264189,2016
tt0106179,"The X-Files","Adventure, Crime, Drama",8.6,256638,1993
tt14452776,"The Bear","Comedy, Drama",8.6,252999,2022
tt0979432,"Boardwalk Empire","Crime, Drama",8.6,207247,2010
tt2788316,Shogun,"Adventure, Drama, History",8.6,187064,2024
tt9335498,"Demon Slayer: Kimetsu no Yaiba","Action, Adventure, Animation",8.6,170594,2019
tt1486217,Archer,"Action, Animation, Comedy",8.6,169010,2009
tt0096657,"Mr. Bean","Comedy, Family",8.6,138103,1990
tt1870479,"The Newsroom",Drama,8.6,127527,2012
tt1489428,Justified,"Action, Crime, Drama",8.6,122016,2010
tt0348914,Deadwood,"Crime, Drama, History",8.6,120657,2004
tt1305826,"Adventure Time","Action, Adventure, Animation",8.6,117854,2010
tt7908628,"What We Do in the Shadows","Comedy, Fantasy, Horror",8.6,110453,2019
tt4288182,Atlanta,"Comedy, Drama, Music",8.6,91386,2016
tt9174558,Dopesick,Drama,8.6,82718,2021
tt1733785,"The Bridge","Crime, Mystery, Thriller",8.6,78794,2011
tt5421602,"Anne with an E","Drama, Family",8.6,70247,2017
tt4299972,"The Jinx: The Life and Deaths of Robert Durst","Biography, Crime, Documentary",8.6,54632,2015
tt0094525,Poirot,"Crime, Drama, Mystery",8.6,53949,1989
tt0088484,"Blackadder II",Comedy,8.6,50915,1986
tt0092324,"Blackadder the Third",Comedy,8.6,47972,1987
tt2100976,"Impractical Jokers","Comedy, Reality-TV",8.6,47356,2011
tt1641384,"Young Justice","Action, Adventure, Animation",8.6,46975,2010
tt2049116,Gomorrah,"Crime, Drama, Thriller",8.6,45849,2014
tt13111040,"The Offer","Biography, Crime, Drama",8.6,43001,2022
tt5288312,Skam,"Drama, Romance",8.6,39751,2015
tt11854694,"Special OPS","Action, Crime, Thriller",8.6,38241,2020
tt9140342,"It's a Sin",Drama,8.6,38091,2021
tt12451520,"It's Okay to Not Be Okay","Comedy, Drama, Romance",8.6,37792,2020
tt0053488,"The Bugs Bunny Show","Animation, Comedy",8.6,36255,1960
tt0417349,"North & South","Drama, Romance",8.6,35714,2004
tt2701582,Endeavour,"Crime, Drama, Mystery",8.6,34683,2012
tt0380136,QI,"Comedy, Game-Show",8.6,34193,2003
tt7562112,Pose,Drama,8.6,33914,2018
tt1983079,"Call the Midwife","Drama, History",8.6,32559,2012
tt4647692,Letterkenny,Comedy,8.6,31012,2016
tt5994364,"Guardian: The Lonely and Great God","Comedy, Drama, Fantasy",8.6,30491,2016
tt20869502,"Extraordinary Attorney Woo",Drama,8.6,29777,2022
tt0417373,"The Venture Bros.","Action, Adventure, Animation",8.6,28678,2003
tt4156586,"Permanent Roommates","Comedy, Romance",8.6,26516,2014
tt0094517,"Mystery Science Theater 3000","Comedy, Sci-Fi",8.6,26316,1988
tt2433738,Wentworth,"Crime, Drama, Thriller",8.6,25406,2013
tt21056886,"Scavengers Reign","Adventure, Animation, Drama",8.6,24441,2023
tt4082744,Detectorists,Comedy,8.6,22491,2014
tt2244495,"The Eric Andre Show","Comedy, Talk-Show",8.6,22458,2012
tt0129690,"I'm Alan Partridge",Comedy,8.6,22420,1997
tt0421291,"Avrupa Yakasi",Comedy,8.6,21960,2004
tt2311418,"Isler Güçler",Comedy,8.6,21497,2012
tt8050756,"The Owl House","Action, Adventure, Animation",8.6,21221,2020
tt7278862,"My Brilliant Friend",Drama,8.6,19607,2018
tt0310455,"Foyle's War","Crime, Drama, Mystery",8.6,18917,2002
tt1513168,"Through the Wormhole",Documentary,8.6,18625,2010
tt10590066,"All Creatures Great & Small","Comedy, Drama",8.6,18283,2020
tt9814458,"Bandish Bandits","Drama, Music, Romance",8.6,17897,2020
tt3671754,"Kardes Payi",Comedy,8.6,17461,2014
tt8317568,"Broken But Beautiful","Drama, Romance",8.6,17234,2018
tt0080306,"Yes Minister",Comedy,8.6,17133,1980
tt0203082,"Rurouni Kenshin: Trust and Betrayal","Action, Adventure, Animation",8.6,16650,1999
tt17513352,"Twenty Five Twenty One","Drama, Romance",8.6,15654,2022
tt0403778,"Long Way Round","Adventure, Documentary",8.6,15619,2004
tt15614372,"Tear Along the Dotted Line","Animation, Comedy, Drama",8.6,15225,2021
tt6385540,Hilda,"Adventure, Animation, Drama",8.6,14550,2018
tt0120570,"From the Earth to the Moon","Action, Drama, History",8.6,13526,1998
tt1877368,"The Great British Baking Show","Game-Show, Reality-TV",8.6,13374,2010
tt0086831,"Yes, Prime Minister",Comedy,8.6,13351,1986
tt13634792,Mouse,"Action, Crime, Mystery",8.6,12589,2021
tt5320412,"Moon Lovers: Scarlet Heart Ryeo","Action, Drama, Fantasy",8.6,12371,2016
tt13400006,"Mr. Queen","Comedy, Fantasy, Romance",8.6,11883,2020
tt0118273,"Brass Eye",Comedy,8.6,11795,1997
tt9103932,"Greatest Events of WWII in Colour","Documentary, History, War",8.6,11549,2019
tt8254348,ImMATURE,"Comedy, Drama, Romance",8.6,10493,2019
tt31862849,"Very Parivarik",Comedy,8.6,10449,2024
tt0426719,"Hunter x Hunter","Action, Adventure, Animation",8.6,10256,1999
tt4580372,Merlí,"Comedy, Drama, Romance",8.6,10235,2015
tt9304350,"Fruits Basket","Animation, Comedy, Drama",8.6,10228,2019
tt2306299,Vikings,"Action, Adventure, Drama",8.5,601972,2013
tt10048342,"The Queen's Gambit",Drama,8.5,586805,2020
tt0475784,Westworld,"Drama, Mystery, Sci-Fi",8.5,541935,2016
tt1442437,"Modern Family","Comedy, Drama, Romance",8.5,501691,2009
tt4158110,"Mr. Robot","Crime, Drama, Thriller",8.5,430057,2015
tt5071412,Ozark,"Crime, Drama, Thriller",8.5,358878,2017
tt6763664,"The Haunting of Hill House","Drama, Horror, Mystery",8.5,301061,2018
tt1586680,Shameless,"Comedy, Drama",8.5,299861,2011
tt1439629,Community,Comedy,8.5,299551,2009
tt2243973,Hannibal,"Crime, Drama, Horror",8.5,284335,2013
tt0149460,Futurama,"Adventure, Animation, Comedy",8.5,266901,1999
tt1442449,Spartacus,"Action, Adventure, Biography",8.5,261838,2010
tt0436992,"Doctor Who","Adventure, Drama, Sci-Fi",8.5,252763,2005
tt1839578,"Person of Interest","Action, Crime, Drama",8.5,193805,2011
tt3230854,"The Expanse","Drama, Mystery, Sci-Fi",8.5,177826,2015
tt4179452,"The Last Kingdom","Action, Drama, History",8.5,172720,2015
tt2575988,"Silicon Valley",Comedy,8.5,170171,2014
tt0487831,"The IT Crowd",Comedy,8.5,167680,2006
tt3526078,"Schitt's Creek",Comedy,8.5,152901,2015
tt1758429,"Spartacus: Gods of the Arena","Action, Adventure, Biography",8.5,148056,2011
tt12343534,"Jujutsu Kaisen","Action, Adventure, Animation",8.5,135724,2020
tt0290978,"The Office","Comedy, Drama",8.5,125825,2001
tt5189670,"Making a Murderer","Crime, Documentary",8.5,104459,2015
tt6077448,"Sacred Games","Action, Crime, Drama",8.5,94315,2018
tt0112159,"Neon Genesis Evangelion","Action, Animation, Drama",8.5,91428,1995
tt3502248,Bosch,"Crime, Drama",8.5,86271,2014
tt10638036,Heartstopper,"Drama, Romance",8.5,83727,2022
tt1492966,Louie,"Comedy, Drama",8.5,83068,2010
tt0314979,"Battlestar Galactica","Action, Adventure, Drama",8.5,81681,2003
tt0421357,"Fullmetal Alchemist","Action, Adventure, Animation",8.5,79808,2003
tt4093826,"Twin Peaks","Crime, Drama, Horror",8.5,78634,2017
tt0088509,"Dragon Ball","Action, Adventure, Animation",8.5,69154,1986
tt11912196,"Asur: Welcome to Your Dark Side","Crime, Drama, Mystery",8.5,67258,2020
tt0863046,"Flight of the Conchords","Comedy, Music, Musical",8.5,67096,2007
tt0280249,"Dragon Ball","Action, Adventure, Animation",8.5,67083,1995
tt3428912,"Happy Valley","Crime, Drama, Thriller",8.5,67002,2014
tt0068098,M*A*S*H,"Comedy, Drama, War",8.5,65439,1972
tt7120662,"Derry Girls",Comedy,8.5,64836,2018
tt1710308,"Regular Show","Action, Adventure, Animation",8.5,62293,2010
tt0278238,"Samurai Jack","Action, Adventure, Animation",8.5,61520,2001
tt0187664,Spaced,Comedy,8.5,58603,1999
tt0423731,"Samurai Champloo","Action, Adventure, Animation",8.5,57457,2004
tt2937900,"The Knick","Drama, History",8.5,53468,2014
tt0275137,"Justice League","Action, Adventure, Animation",8.5,53209,2001
tt8289930,"Formula 1: Drive to Survive","Documentary, Sport",8.5,53038,2019
tt0290988,"Trailer Park Boys","Comedy, Crime",8.5,52545,2001
tt0402711,"Boston Legal","Comedy, Crime, Drama",8.5,50959,2004
tt5897304,"Mob Psycho 100","Action, Animation, Comedy",8.5,50222,2016
tt0237123,Coupling,"Comedy, Romance",8.5,48353,2000
tt0163507,"Whose Line Is It Anyway?","Comedy, Game-Show",8.5,47156,1998
tt3895150,"Your Lie in April","Animation, Comedy, Drama",8.5,40438,2014
tt2359704,"JoJo's Bizarre Adventure","Action, Adventure, Animation",8.5,38645,2012
tt0373732,"The Boondocks","Action, Animation, Comedy",8.5,37121,2005
tt12714854,"Mumbai Diaries","Drama, Thriller",8.5,30887,2021
tt1526318,Borgen,Drama,8.5,30655,2010
tt11301642,Ethos,"Drama, Thriller",8.5,30176,2020
tt1299368,Southland,"Crime, Drama, Thriller",8.5,29606,2009
tt0043208,"I Love Lucy",Comedy,8.5,29507,1951
tt10802170,"The Rehearsal","Comedy, Documentary",8.5,27308,2022
tt9398466,"Delhi Crime","Crime, Drama",8.5,26975,2019
tt16296870,"The Railway Men","Drama, History, Thriller",8.5,25481,2023
tt0075520,"Jesus of Nazareth","Biography, Drama, History",8.5,25431,1977
tt1353056,"RuPaul's Drag Race","Game-Show, Reality-TV",8.5,23985,2009
tt0088727,"Anne of Green Gables","Drama, Family",8.5,23219,1985
tt0262985,"Queer as Folk","Drama, Romance",8.5,22876,2000
tt9522300,"Kaguya-sama: Love is War","Animation, Comedy, Romance",8.5,22198,2019
tt11407524,"Hostel Daze","Comedy, Drama",8.5,21559,2019
tt2674806,"Inside No. 9","Comedy, Crime, Drama",8.5,21538,2014
tt0346314,"Ghost in the Shell: Stand Alone Complex","Action, Animation, Crime",8.5,21411,2002
tt7259746,"Queer Eye",Reality-TV,8.5,21374,2018
tt0182629,"Rurouni Kenshin","Action, Adventure, Animation",8.5,20958,1996
tt6005644,"TVF Tripling","Comedy, Drama",8.5,20774,2016
tt1094229,Heartland,"Drama, Family",8.5,20726,2007
tt0397150,"Garth Marenghi's Darkplace","Comedy, Fantasy, Horror",8.5,20556,2004
tt3673794,Kingdom,"Drama, Sport",8.5,20079,2014
tt2155025,"Please Like Me","Comedy, Drama, Romance",8.5,20019,2013
